"variabletype" "activitytype" "subjectid" "meanvalue"
"tbodyaccmeanx" "walking" 1 0.277330758736842
"tbodyaccmeanx" "walking" 2 0.276426586440678
"tbodyaccmeanx" "walking" 3 0.275567462068966
"tbodyaccmeanx" "walking" 4 0.278582015166667
"tbodyaccmeanx" "walking" 5 0.27784234625
"tbodyaccmeanx" "walking" 6 0.283658868070175
"tbodyaccmeanx" "walking" 7 0.275592961754386
"tbodyaccmeanx" "walking" 8 0.27468631
"tbodyaccmeanx" "walking" 9 0.278502842115385
"tbodyaccmeanx" "walking" 10 0.278574076603774
"tbodyaccmeanx" "walking" 11 0.271821892881356
"tbodyaccmeanx" "walking" 12 0.2771286656
"tbodyaccmeanx" "walking" 13 0.275883130350877
"tbodyaccmeanx" "walking" 14 0.271959598644068
"tbodyaccmeanx" "walking" 15 0.273899207962963
"tbodyaccmeanx" "walking" 16 0.276023564509804
"tbodyaccmeanx" "walking" 17 0.272341855245902
"tbodyaccmeanx" "walking" 18 0.273887758571429
"tbodyaccmeanx" "walking" 19 0.273931172307692
"tbodyaccmeanx" "walking" 20 0.272589336470588
"tbodyaccmeanx" "walking" 21 0.279183526730769
"tbodyaccmeanx" "walking" 22 0.27886459
"tbodyaccmeanx" "walking" 23 0.273211884237288
"tbodyaccmeanx" "walking" 24 0.276980816034483
"tbodyaccmeanx" "walking" 25 0.278992759054054
"tbodyaccmeanx" "walking" 26 0.279264443728814
"tbodyaccmeanx" "walking" 27 0.276849485438596
"tbodyaccmeanx" "walking" 28 0.281228223888889
"tbodyaccmeanx" "walking" 29 0.271999916792453
"tbodyaccmeanx" "walking" 30 0.276406758
"tbodyaccmeanx" "walking_upstairs" 1 0.255461689622641
"tbodyaccmeanx" "walking_upstairs" 2 0.247164790395833
"tbodyaccmeanx" "walking_upstairs" 3 0.260819873067797
"tbodyaccmeanx" "walking_upstairs" 4 0.270876696730769
"tbodyaccmeanx" "walking_upstairs" 5 0.268459469914894
"tbodyaccmeanx" "walking_upstairs" 6 0.268229355098039
"tbodyaccmeanx" "walking_upstairs" 7 0.248706923078431
"tbodyaccmeanx" "walking_upstairs" 8 0.258880152048781
"tbodyaccmeanx" "walking_upstairs" 9 0.262436475714286
"tbodyaccmeanx" "walking_upstairs" 10 0.267121853404255
"tbodyaccmeanx" "walking_upstairs" 11 0.263775859277778
"tbodyaccmeanx" "walking_upstairs" 12 0.272970338653846
"tbodyaccmeanx" "walking_upstairs" 13 0.258203939581818
"tbodyaccmeanx" "walking_upstairs" 14 0.26242106612963
"tbodyaccmeanx" "walking_upstairs" 15 0.270187595833333
"tbodyaccmeanx" "walking_upstairs" 16 0.255986102627451
"tbodyaccmeanx" "walking_upstairs" 17 0.252604768583333
"tbodyaccmeanx" "walking_upstairs" 18 0.265401201896552
"tbodyaccmeanx" "walking_upstairs" 19 0.242118808925
"tbodyaccmeanx" "walking_upstairs" 20 0.252098317156863
"tbodyaccmeanx" "walking_upstairs" 21 0.265194544680851
"tbodyaccmeanx" "walking_upstairs" 22 0.248391534566667
"tbodyaccmeanx" "walking_upstairs" 23 0.249995171031373
"tbodyaccmeanx" "walking_upstairs" 24 0.269881106779661
"tbodyaccmeanx" "walking_upstairs" 25 0.277995411384615
"tbodyaccmeanx" "walking_upstairs" 26 0.272691394545455
"tbodyaccmeanx" "walking_upstairs" 27 0.265770253921569
"tbodyaccmeanx" "walking_upstairs" 28 0.262005841764706
"tbodyaccmeanx" "walking_upstairs" 29 0.265423066877551
"tbodyaccmeanx" "walking_upstairs" 30 0.271415642261538
"tbodyaccmeanx" "walking_downstairs" 1 0.289188320408163
"tbodyaccmeanx" "walking_downstairs" 2 0.27761534806383
"tbodyaccmeanx" "walking_downstairs" 3 0.292423484693878
"tbodyaccmeanx" "walking_downstairs" 4 0.279965329555556
"tbodyaccmeanx" "walking_downstairs" 5 0.29354392712766
"tbodyaccmeanx" "walking_downstairs" 6 0.277045258145833
"tbodyaccmeanx" "walking_downstairs" 7 0.28030708
"tbodyaccmeanx" "walking_downstairs" 8 0.283484089210526
"tbodyaccmeanx" "walking_downstairs" 9 0.295923445
"tbodyaccmeanx" "walking_downstairs" 10 0.290401594315789
"tbodyaccmeanx" "walking_downstairs" 11 0.291605631956522
"tbodyaccmeanx" "walking_downstairs" 12 0.281521097391304
"tbodyaccmeanx" "walking_downstairs" 13 0.294907553404255
"tbodyaccmeanx" "walking_downstairs" 14 0.293422115555556
"tbodyaccmeanx" "walking_downstairs" 15 0.280198851190476
"tbodyaccmeanx" "walking_downstairs" 16 0.295586802191489
"tbodyaccmeanx" "walking_downstairs" 17 0.29391828326087
"tbodyaccmeanx" "walking_downstairs" 18 0.288439468909091
"tbodyaccmeanx" "walking_downstairs" 19 0.262688053871795
"tbodyaccmeanx" "walking_downstairs" 20 0.296144421355556
"tbodyaccmeanx" "walking_downstairs" 21 0.3014610196
"tbodyaccmeanx" "walking_downstairs" 22 0.284458963861111
"tbodyaccmeanx" "walking_downstairs" 23 0.289897411148148
"tbodyaccmeanx" "walking_downstairs" 24 0.288631208909091
"tbodyaccmeanx" "walking_downstairs" 25 0.291329666206897
"tbodyaccmeanx" "walking_downstairs" 26 0.2792845828
"tbodyaccmeanx" "walking_downstairs" 27 0.2975441875
"tbodyaccmeanx" "walking_downstairs" 28 0.293642076521739
"tbodyaccmeanx" "walking_downstairs" 29 0.293140441083333
"tbodyaccmeanx" "walking_downstairs" 30 0.283190646967742
"tbodyaccmeanx" "sitting" 1 0.261237565425532
"tbodyaccmeanx" "sitting" 2 0.27708735173913
"tbodyaccmeanx" "sitting" 3 0.257197599134615
"tbodyaccmeanx" "sitting" 4 0.27153827992
"tbodyaccmeanx" "sitting" 5 0.273694139545455
"tbodyaccmeanx" "sitting" 6 0.276778487454545
"tbodyaccmeanx" "sitting" 7 0.284674637291667
"tbodyaccmeanx" "sitting" 8 0.267491472934783
"tbodyaccmeanx" "sitting" 9 0.24832674354
"tbodyaccmeanx" "sitting" 10 0.270612056481481
"tbodyaccmeanx" "sitting" 11 0.276590197358491
"tbodyaccmeanx" "sitting" 12 0.275007224901961
"tbodyaccmeanx" "sitting" 13 0.274328499591837
"tbodyaccmeanx" "sitting" 14 0.279990577037037
"tbodyaccmeanx" "sitting" 15 0.27290337979661
"tbodyaccmeanx" "sitting" 16 0.280768574492754
"tbodyaccmeanx" "sitting" 17 0.2773570196875
"tbodyaccmeanx" "sitting" 18 0.27727001877193
"tbodyaccmeanx" "sitting" 19 0.273830316164384
"tbodyaccmeanx" "sitting" 20 0.278045439090909
"tbodyaccmeanx" "sitting" 21 0.277539616823529
"tbodyaccmeanx" "sitting" 22 0.273583822709677
"tbodyaccmeanx" "sitting" 23 0.273351251617647
"tbodyaccmeanx" "sitting" 24 0.273475690147059
"tbodyaccmeanx" "sitting" 25 0.278541482461538
